"likert_or_number","participant_id","question_id","priming","response","response_time","scale_size","question_valence"
"likert","17mhljp","8","No Priming",3.91208325195313,17567,5,"Positive"
"likert","17mhljp","18","No Priming",4.96008919852121,9616,7,"Negative"
"likert","17mhljp","10","No Priming",6.11111111111111,18073,9,"Positive"
"likert","17mhljp","3","No Priming",8.92888888888889,3877,9,"Positive"
"likert","17mhljp","11","No Priming",3.02408325195313,13512,5,"Positive"
"likert","17mhljp","2","No Priming",6.85428571428571,23825,7,"Positive"
"likert","17mhljp","12","No Priming",6.82857142857143,6763,7,"Positive"
"likert","17mhljp","16","No Priming",2.48808325195313,14464,5,"Negative"
"likert","17mhljp","17","No Priming",2.04,5429,5,"Negative"
"likert","17mhljp","14","No Priming",9.01777777777778,10070,9,"Positive"
"likert","17mhljp","5","No Priming",6.84888888888889,6754,9,"Positive"
"likert","17mhljp","1","No Priming",4.09333333333333,14905,9,"Positive"
"likert","17mhljp","6","No Priming",6.90222222222222,7400,9,"Positive"
"likert","17mhljp","20","No Priming",1.03208325195313,5201,5,"Negative"
"likert","17mhljp","13","No Priming",3.968,4495,5,"Positive"
"likert","17mhljp","7","No Priming",6.26285714285714,6575,7,"Positive"
"number","17mhljp","c","No Priming",4.96,4314,10,""
"number","17mhljp","e","No Priming",7.9525,2554,10,""
"number","17mhljp","i","No Priming",3.0925,4391,10,""
"number","17mhljp","h","No Priming",2.1025,2800,10,""
"number","17mhljp","j","No Priming",9.94375,2898,10,""
"number","17mhljp","g","No Priming",4.0825,2741,10,""
"number","17mhljp","b","No Priming",7.94125,2296,10,""
"number","17mhljp","d","No Priming",8.92,2281,10,""
"number","17mhljp","f","No Priming",2.125,2466,10,""
"number","17mhljp","a","No Priming",5.995,2376,10,""
"likert","24lx2xp","16","No Priming",1.04323800223214,31805,7,"Negative"
"likert","24lx2xp","5","No Priming",5.61185716901507,23569,7,"Positive"
"likert","24lx2xp","10","No Priming",4.93639990234375,9138,5,"Positive"
"likert","24lx2xp","2","No Priming",8.90419752332899,13659,9,"Positive"
"likert","24lx2xp","18","No Priming",3.93180943080357,6296,7,"Negative"
"likert","24lx2xp","21","No Priming",3.12641974555122,11782,9,"Negative"
"likert","24lx2xp","8","No Priming",3.92035546875,10480,5,"Positive"
"likert","24lx2xp","7","No Priming",7.12641974555122,14327,9,"Positive"
"likert","24lx2xp","12","No Priming",8.95753085666233,9869,9,"Positive"
"likert","24lx2xp","17","No Priming",1.00035546875,9659,5,"Negative"
"likert","24lx2xp","19","No Priming",1.89185716901507,10568,7,"Negative"
"likert","24lx2xp","6","No Priming",6.96609514508929,9853,7,"Positive"
"likert","24lx2xp","9","No Priming",6.84609514508929,6438,7,"Positive"
"likert","24lx2xp","14","No Priming",8.94864196777344,12370,9,"Positive"
"likert","24lx2xp","3","No Priming",4.94435546875,7482,5,"Positive"
"likert","24lx2xp","20","No Priming",0.98435546875,9591,5,"Negative"
"likert","24lx2xp","11","No Priming",4.94439990234375,9652,5,"Positive"
"likert","24lx2xp","15","No Priming",3.14328574044364,116123,7,"Negative"
"number","24lx2xp","h","No Priming",2.13674996376038,4563,10,""
"number","24lx2xp","i","No Priming",3.00299996376038,3703,10,""
"number","24lx2xp","a","No Priming",6.01799996376038,2725,10,""
"number","24lx2xp","c","No Priming",5.02799996376038,1948,10,""
"number","24lx2xp","b","No Priming",7.88549996376038,1549,10,""
"number","24lx2xp","d","No Priming",8.94299996376037,1992,10,""
"number","24lx2xp","j","No Priming",9.92174996376038,5297,10,""
"number","24lx2xp","e","No Priming",7.95299996376038,2424,10,""
"number","24lx2xp","g","No Priming",3.99299996376038,2498,10,""
"number","24lx2xp","f","No Priming",2.05799996376038,2034,10,""
"likert","27xbnd2","10","No Priming",7.0296295844184,44567,9,"Positive"
"likert","27xbnd2","16","No Priming",5.92740736219618,12575,9,"Negative"
"likert","27xbnd2","12","No Priming",6.81142857142857,5918,7,"Positive"
"likert","27xbnd2","19","No Priming",1.016,10026,5,"Negative"
"likert","27xbnd2","21","No Priming",2.94571428571429,7850,7,"Negative"
"likert","27xbnd2","17","No Priming",0.936,9296,5,"Negative"
"likert","27xbnd2","18","No Priming",3.07208325195313,7569,5,"Negative"
"likert","27xbnd2","3","No Priming",6.82857142857143,69636,7,"Positive"
"likert","27xbnd2","8","No Priming",4.14083333333333,29699,9,"Positive"
"likert","27xbnd2","14","No Priming",9.00296291775174,18530,9,"Positive"
"likert","27xbnd2","6","No Priming",5.82571428571429,13319,7,"Positive"
"likert","27xbnd2","15","No Priming",2.984,37588,5,"Negative"
"likert","27xbnd2","1","No Priming",2.984,104746,5,"Positive"
"likert","27xbnd2","9","No Priming",3.97185180664062,8100,9,"Positive"
"likert","27xbnd2","4","No Priming",4.92580348423549,8446,7,"Positive"
"likert","27xbnd2","13","No Priming",4.07142839704241,7823,7,"Positive"
"likert","27xbnd2","11","No Priming",7.95407402886285,14429,9,"Positive"
"likert","27xbnd2","5","No Priming",4.97608325195313,9450,5,"Positive"
"number","27xbnd2","d","No Priming",8.9425,3837,10,""
"number","27xbnd2","h","No Priming",2.00125,8052,10,""
"number","27xbnd2","a","No Priming",6.05125,2737,10,""
"number","27xbnd2","c","No Priming",4.97125,2046,10,""
"number","27xbnd2","g","No Priming",4.06,2433,10,""
"number","27xbnd2","f","No Priming",2.125,4677,10,""
"number","27xbnd2","j","No Priming",9.91,2626,10,""
"number","27xbnd2","b","No Priming",7.885,2575,10,""
"number","27xbnd2","e","No Priming",8.02,1853,10,""
"number","27xbnd2","i","No Priming",2.9125,2955,10,""
"likert","33cholx","12","No Priming",8.01333333333333,154464,9,"Positive"
"likert","33cholx","18","No Priming",5.05428571428571,59401,7,"Negative"
"likert","33cholx","3","No Priming",4.016,67712,5,"Positive"
"likert","33cholx","2","No Priming",6.82,10031,7,"Positive"
"likert","33cholx","17","No Priming",3.04444444444444,10322,9,"Negative"
"likert","33cholx","9","No Priming",3.992,27442,5,"Positive"
"likert","33cholx","21","No Priming",2.07555555555556,19640,9,"Negative"
"likert","33cholx","19","No Priming",1.008,35059,5,"Negative"
"likert","33cholx","20","No Priming",1.13714285714286,19157,7,"Negative"
"likert","33cholx","14","No Priming",5.672,13876,5,"Positive"
"likert","33cholx","10","No Priming",6.12,30930,9,"Positive"
"likert","33cholx","6","No Priming",7.04444444444444,15227,9,"Positive"
"likert","33cholx","13","No Priming",4.15428571428571,21876,7,"Positive"
"likert","33cholx","4","No Priming",4.968,8798,5,"Positive"
"likert","33cholx","11","No Priming",7.85333333333333,8246,9,"Positive"
"likert","33cholx","8","No Priming",5.09777777777778,51079,9,"Positive"
"likert","33cholx","7","No Priming",7.61714285714286,15395,7,"Positive"
"likert","33cholx","5","No Priming",4.92,10803,5,"Positive"
"number","33cholx","f","No Priming",2.1925,11051,10,""
"number","33cholx","c","No Priming",5.03875,5991,10,""
"number","33cholx","d","No Priming",8.95375,3522,10,""
"number","33cholx","i","No Priming",3.05875,4158,10,""
"number","33cholx","h","No Priming",1.99,2609,10,""
"number","33cholx","b","No Priming",7.9525,2334,10,""
"number","33cholx","g","No Priming",4.015,6176,10,""
"number","33cholx","j","No Priming",9.76375,4541,10,""
"number","33cholx","a","No Priming",5.995,2537,10,""
"number","33cholx","e","No Priming",7.93,2484,10,""
"likert","4fm2ngf","19","No Priming",2.55142857142857,53119,7,"Negative"
"likert","4fm2ngf","9","No Priming",4.92571428571429,10670,7,"Positive"
"likert","4fm2ngf","15","No Priming",4.87428571428571,8151,7,"Negative"
"likert","4fm2ngf","20","No Priming",0.960125,16503,5,"Negative"
"likert","4fm2ngf","5","No Priming",6.04013392857143,4927,7,"Positive"
"likert","4fm2ngf","16","No Priming",3.24571428571429,8879,7,"Negative"
"likert","4fm2ngf","1","No Priming",3.528125,12503,5,"Positive"
"likert","4fm2ngf","11","No Priming",6.83714285714286,3496,7,"Positive"
"likert","4fm2ngf","7","No Priming",4.936,4855,5,"Positive"
"likert","4fm2ngf","8","No Priming",0.991428571428571,25336,7,"Positive"
"likert","4fm2ngf","21","No Priming",1.384,6287,5,"Negative"
"likert","4fm2ngf","4","No Priming",7.88888888888889,18983,9,"Positive"
"likert","4fm2ngf","12","No Priming",8.83111111111111,10448,9,"Positive"
"likert","4fm2ngf","2","No Priming",8.03111111111111,6055,9,"Positive"
"likert","4fm2ngf","6","No Priming",7.03555555555556,9303,9,"Positive"
"likert","4fm2ngf","17","No Priming",3.22222222222222,6817,9,"Negative"
"likert","4fm2ngf","18","No Priming",3.352125,69183,5,"Negative"
"likert","4fm2ngf","10","No Priming",7.00888888888889,5312,9,"Positive"
"likert","4fm2ngf","14","No Priming",8.94666666666667,22336,9,"Positive"
"likert","4fm2ngf","13","No Priming",3.944,159103,5,"Positive"
"likert","4fm2ngf","3","No Priming",4.872125,3719,5,"Positive"
"number","4fm2ngf","g","No Priming",4.015,4608,10,""
"number","4fm2ngf","a","No Priming",6.085,1391,10,""
"number","4fm2ngf","d","No Priming",9.11125,1391,10,""
"number","4fm2ngf","c","No Priming",5.03875,1647,10,""
"number","4fm2ngf","j","No Priming",9.9775,2535,10,""
"number","4fm2ngf","h","No Priming",2.035,2079,10,""
"number","4fm2ngf","b","No Priming",5.17375,2358,10,""
"number","4fm2ngf","f","No Priming",2.06875,6191,10,""
"number","4fm2ngf","e","No Priming",7.94125,1551,10,""
"number","4fm2ngf","i","No Priming",2.935,1456,10,""
"number","56yq11s","a","Priming",6.0175,5037,10,""
"number","56yq11s","j","Priming",9.96625,2579,10,""
"number","56yq11s","c","Priming",5.005,1573,10,""
"number","56yq11s","d","Priming",8.9425,1875,10,""
"number","56yq11s","e","Priming",7.9525,1988,10,""
"number","56yq11s","i","Priming",3.025,2195,10,""
"number","56yq11s","f","Priming",2.0575,1956,10,""
"number","56yq11s","h","Priming",2.035,2978,10,""
"number","56yq11s","g","Priming",4.04875,1680,10,""
"number","56yq11s","b","Priming",7.94125,2078,10,""
"likert","56yq11s","11","Priming",4.41333325195312,16504,5,"Positive"
"likert","56yq11s","17","Priming",1.98933325195313,8760,5,"Negative"
"likert","56yq11s","8","Priming",4.48157402886285,19470,9,"Positive"
"likert","56yq11s","9","Priming",0.988148057725694,11885,9,"Positive"
"likert","56yq11s","2","Priming",6.20857134137835,8267,7,"Positive"
"likert","56yq11s","21","Priming",3.96592583550347,5422,9,"Negative"
"likert","56yq11s","20","Priming",0.86370361328125,9191,9,"Negative"
"likert","56yq11s","7","Priming",8.9792591688368,5662,9,"Positive"
"likert","56yq11s","15","Priming",5.11999991280692,6071,7,"Negative"
"likert","56yq11s","10","Priming",4.95208325195313,3173,5,"Positive"
"likert","56yq11s","19","Priming",2.93481472439236,3495,9,"Negative"
"likert","56yq11s","4","Priming",6.74814805772569,8882,9,"Positive"
"likert","56yq11s","5","Priming",4.40866053989955,7944,7,"Positive"
"likert","56yq11s","18","Priming",3.22408325195312,4571,5,"Negative"
"likert","56yq11s","1","Priming",1.48571419852121,8296,7,"Positive"
"likert","56yq11s","16","Priming",3.28580339704241,4439,7,"Negative"
"likert","56yq11s","3","Priming",4.34933325195312,4118,5,"Positive"
"likert","56yq11s","14","Priming",6.94571419852121,8304,7,"Positive"
"likert","56yq11s","13","Priming",3.95733325195312,4344,5,"Positive"
"likert","56yq11s","12","Priming",4.59733325195312,8138,5,"Positive"
"likert","56yq11s","6","Priming",5.90857134137835,6646,7,"Positive"
"number","6322j5m","f","Priming",2.09125,4780,10,""
"number","6322j5m","e","Priming",7.9975,1795,10,""
"number","6322j5m","b","Priming",7.9525,1888,10,""
"number","6322j5m","g","Priming",3.9925,3719,10,""
"number","6322j5m","i","Priming",3.025,2313,10,""
"number","6322j5m","d","Priming",8.9425,1478,10,""
"number","6322j5m","j","Priming",9.91,2409,10,""
"number","6322j5m","h","Priming",2.02375,1868,10,""
"number","6322j5m","a","Priming",6.04,1923,10,""
"number","6322j5m","c","Priming",5.005,1807,10,""
"likert","6322j5m","20","Priming",1.00296291775174,62392,9,"Negative"
"likert","6322j5m","5","Priming",6.54074069552951,18081,9,"Positive"
"likert","6322j5m","3","Priming",6.22857142857143,6573,7,"Positive"
"likert","6322j5m","19","Priming",4.44571428571429,10530,7,"Negative"
"likert","6322j5m","16","Priming",3.50408325195313,12460,5,"Negative"
"likert","6322j5m","2","Priming",5.58571428571429,13774,7,"Positive"
"likert","6322j5m","1","Priming",1.96,5299,5,"Positive"
"likert","6322j5m","17","Priming",3.00571428571429,6214,7,"Negative"
"likert","6322j5m","14","Priming",8.99407402886285,6665,9,"Positive"
"likert","6322j5m","6","Priming",6.25629625108507,11314,9,"Positive"
"likert","6322j5m","21","Priming",2.664,7667,5,"Negative"
"likert","6322j5m","8","Priming",2.72808325195312,22122,5,"Positive"
"likert","6322j5m","4","Priming",3.34408325195312,10167,5,"Positive"
"likert","6322j5m","7","Priming",6.91407402886285,9824,9,"Positive"
"likert","6322j5m","10","Priming",4.66866062709263,190347,7,"Positive"
"likert","6322j5m","15","Priming",3.56,5489,5,"Negative"
"likert","6322j5m","13","Priming",3.30518513997396,141350,9,"Positive"
"likert","6322j5m","9","Priming",2.93999982561384,7264,7,"Positive"
"likert","6322j5m","18","Priming",5.86866062709263,6978,7,"Negative"
"likert","6322j5m","11","Priming",6.76296291775174,3506,9,"Positive"
"likert","6322j5m","12","Priming",4.416,3064,5,"Positive"
"number","6vk9sxe","b","Priming",7.94125,5381,10,""
"number","6vk9sxe","a","Priming",5.995,2487,10,""
"number","6vk9sxe","i","Priming",3.025,3402,10,""
"number","6vk9sxe","d","Priming",8.93125,3598,10,""
"number","6vk9sxe","j","Priming",9.9775,4404,10,""
"number","6vk9sxe","e","Priming",7.9525,3807,10,""
"number","6vk9sxe","h","Priming",2.04625,2202,10,""
"number","6vk9sxe","g","Priming",4.0375,2218,10,""
"number","6vk9sxe","c","Priming",4.99375,2188,10,""
"number","6vk9sxe","f","Priming",2.04625,3071,10,""
"likert","6vk9sxe","17","Priming",2.504125,38084,5,"Negative"
"likert","6vk9sxe","21","Priming",3.232,25163,5,"Negative"
"likert","6vk9sxe","15","Priming",6.96444444444444,29873,9,"Negative"
"likert","6vk9sxe","19","Priming",3.96571428571429,21400,7,"Negative"
"likert","6vk9sxe","3","Priming",6.95727678571429,21851,7,"Positive"
"likert","6vk9sxe","2","Priming",4.976125,16064,5,"Positive"
"likert","6vk9sxe","9","Priming",4,11771,7,"Positive"
"likert","6vk9sxe","1","Priming",3.05727678571429,13633,7,"Positive"
"likert","6vk9sxe","5","Priming",6.95555555555556,9702,9,"Positive"
"likert","6vk9sxe","8","Priming",7.00888888888889,37617,9,"Positive"
"likert","6vk9sxe","14","Priming",6.96571428571429,11455,7,"Positive"
"likert","6vk9sxe","13","Priming",3.968,17473,5,"Positive"
"likert","6vk9sxe","12","Priming",8.98222222222222,9479,9,"Positive"
"likert","6vk9sxe","6","Priming",5.99714285714286,19901,7,"Positive"
"likert","6vk9sxe","7","Priming",7.97777777777778,10238,9,"Positive"
"likert","6vk9sxe","4","Priming",4.976125,16314,5,"Positive"
"likert","6vk9sxe","16","Priming",5.96,37332,9,"Negative"
"likert","6vk9sxe","20","Priming",1.00013392857143,9255,7,"Negative"
"likert","6vk9sxe","11","Priming",4.984,14370,5,"Positive"
"likert","6vk9sxe","10","Priming",4.976,25781,5,"Positive"
"likert","6vk9sxe","18","Priming",6.96444444444444,134770,9,"Negative"
"likert","6wj5a7l","11","No Priming",7.00857142857143,15412,7,"Positive"
"likert","6wj5a7l","7","No Priming",7,10060,7,"Positive"
"likert","6wj5a7l","1","No Priming",3.056125,6378,5,"Positive"
"likert","6wj5a7l","14","No Priming",5.04,36949,5,"Positive"
"likert","6wj5a7l","19","No Priming",5.08,6927,9,"Negative"
"likert","6wj5a7l","12","No Priming",8.80444444444444,3899,9,"Positive"
"likert","6wj5a7l","13","No Priming",3.952,5546,5,"Positive"
"likert","6wj5a7l","17","No Priming",3.13333333333333,3962,9,"Negative"
"likert","6wj5a7l","20","No Priming",1.00870535714286,4728,7,"Negative"
"likert","6wj5a7l","10","No Priming",5.95428571428571,5513,7,"Positive"
"likert","6wj5a7l","5","No Priming",6.95555555555556,4164,9,"Positive"
"likert","6wj5a7l","18","No Priming",7.04444444444444,3096,9,"Negative"
"likert","6wj5a7l","3","No Priming",8.88444444444444,2930,9,"Positive"
"likert","6wj5a7l","9","No Priming",3.976,3182,5,"Positive"
"likert","6wj5a7l","21","No Priming",2.98857142857143,5047,7,"Negative"
"likert","6wj5a7l","6","No Priming",5.99714285714286,6498,7,"Positive"
"likert","6wj5a7l","15","No Priming",4.99428571428571,3446,7,"Negative"
"likert","6wj5a7l","2","No Priming",4.888125,2148,5,"Positive"
"likert","6wj5a7l","16","No Priming",2.008,2413,5,"Negative"
"likert","6wj5a7l","8","No Priming",3.928,19265,5,"Positive"
"number","6wj5a7l","e","No Priming",7.93,5315,10,""
"number","6wj5a7l","c","No Priming",5.005,1597,10,""
"number","6wj5a7l","a","No Priming",6.04,1614,10,""
"number","6wj5a7l","b","No Priming",7.9525,1464,10,""
"number","6wj5a7l","i","No Priming",3.08125,2931,10,""
"number","6wj5a7l","f","No Priming",2.035,1565,10,""
"number","6wj5a7l","h","No Priming",2.06875,1714,10,""
"number","6wj5a7l","d","No Priming",8.965,2281,10,""
"number","6wj5a7l","j","No Priming",9.955,2531,10,""
"number","6wj5a7l","g","No Priming",4.04875,2130,10,""
"number","73c648g","a","Priming",6.1075,5028,10,""
"number","73c648g","i","Priming",3.0475,15553,10,""
"number","73c648g","j","Priming",9.8425,6254,10,""
"number","73c648g","h","Priming",2.08,7522,10,""
"number","73c648g","g","Priming",4.06,6491,10,""
"number","73c648g","d","Priming",8.93125,14383,10,""
"number","73c648g","b","Priming",7.9525,4725,10,""
"number","73c648g","f","Priming",2.1025,6142,10,""
"number","73c648g","e","Priming",7.9525,4959,10,""
"number","73c648g","c","Priming",5.01625,2988,10,""
"likert","73c648g","3","Priming",4.792,25257,5,"Positive"
"likert","73c648g","15","Priming",6.85777777777778,10352,9,"Negative"
"likert","73c648g","19","Priming",1.968,20674,5,"Negative"
"likert","73c648g","17","Priming",2.99111111111111,11225,9,"Negative"
"likert","73c648g","7","Priming",6.79428571428571,9950,7,"Positive"
"likert","73c648g","21","Priming",6.01333333333333,12600,9,"Negative"
"likert","73c648g","20","Priming",0.893333333333333,14274,9,"Negative"
"likert","73c648g","6","Priming",4.792,10597,5,"Positive"
"likert","73c648g","14","Priming",6.91428571428571,9983,7,"Positive"
"likert","73c648g","12","Priming",8.92888888888889,9733,9,"Positive"
"likert","73c648g","13","Priming",3.968,10041,5,"Positive"
"likert","73c648g","4","Priming",5.26857142857143,6925,7,"Positive"
"likert","73c648g","18","Priming",5.01142857142857,14308,7,"Negative"
"likert","73c648g","5","Priming",7.16,10495,9,"Positive"
"likert","73c648g","10","Priming",5.97142857142857,6292,7,"Positive"
"likert","73c648g","16","Priming",2.096,5174,5,"Negative"
"likert","73c648g","11","Priming",4.784,11612,5,"Positive"
"likert","73c648g","1","Priming",3.06571428571429,10975,7,"Positive"
"likert","73c648g","9","Priming",4.09333333333333,5892,9,"Positive"
"likert","73c648g","2","Priming",4.84,4483,5,"Positive"
"number","7kscxf6","b","Priming",7.96375,28296,10,""
"number","7kscxf6","c","Priming",4.99375,15146,10,""
"number","7kscxf6","h","Priming",4.015,4133,10,""
"number","7kscxf6","a","Priming",6.0175,3435,10,""
"number","7kscxf6","j","Priming",9.94375,3332,10,""
"number","7kscxf6","d","Priming",8.965,2404,10,""
"number","7kscxf6","i","Priming",3.0925,2368,10,""
"number","7kscxf6","f","Priming",2.04625,3094,10,""
"number","7kscxf6","g","Priming",3.9925,2562,10,""
"number","7kscxf6","e","Priming",8.03125,2644,10,""
"likert","7kscxf6","19","Priming",2.20857142857143,61051,7,"Negative"
"likert","7kscxf6","2","Priming",6.95720982142857,12386,7,"Positive"
"likert","7kscxf6","14","Priming",9,9496,9,"Positive"
"likert","7kscxf6","8","Priming",4.06673611111111,13450,9,"Positive"
"likert","7kscxf6","16","Priming",1.968,10940,5,"Negative"
"likert","7kscxf6","13","Priming",4.09333333333333,756596,9,"Positive"
"likert","7kscxf6","18","Priming",1.0400625,15009,5,"Negative"
"likert","7kscxf6","3","Priming",8.96444444444444,11133,9,"Positive"
"likert","7kscxf6","21","Priming",1.96863839285714,9582,7,"Negative"
"likert","7kscxf6","17","Priming",1.232,5247,5,"Negative"
"likert","7kscxf6","12","Priming",6.77720982142857,14694,7,"Positive"
"likert","7kscxf6","20","Priming",1.0240625,6172,5,"Negative"
"likert","7kscxf6","7","Priming",6.99142857142857,4757,7,"Positive"
"likert","7kscxf6","9","Priming",4.12888888888889,5335,9,"Positive"
"likert","7kscxf6","6","Priming",4.0400625,8452,5,"Positive"
"likert","7kscxf6","15","Priming",1.1440625,14564,5,"Negative"
"likert","7kscxf6","5","Priming",6.79435267857143,5570,7,"Positive"
"likert","7kscxf6","11","Priming",6.79428571428571,3671,7,"Positive"
"number","7m80kom","a","Priming",6.00625,7185,10,""
"number","7m80kom","b","Priming",8.335,19665,10,""
"number","7m80kom","d","Priming",9.0325,26788,10,""
"number","7m80kom","c","Priming",4.9375,45628,10,""
"number","7m80kom","h","Priming",2.0125,12843,10,""
"number","7m80kom","j","Priming",10.03375,6084,10,""
